epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall,train_auc,val_auc,learning_rate
1,0.2512320908308029,0.25959975365549326,0.702,0.7094188376753507,0.7779433681073026,0.7949080622347949,0.9182058047493403,0.8753894080996885,0.6748545572074984,0.727979274611399,0.7928019908931478,0.7862579668944014,6.666666666666667e-05
2,0.24115378165245055,0.3176351133733988,0.733,0.749498997995992,0.8073593073593074,0.8348745046235139,0.913469387755102,0.8517520215633423,0.7233354880413704,0.8186528497409327,0.8149583827417874,0.7852492090421387,0.0001
3,0.225612788438797,0.29694463312625885,0.745,0.7454909819639278,0.8142076502732241,0.834850455136541,0.9328046744574291,0.8381201044386423,0.7223658694246929,0.8316062176165803,0.8323012852619396,0.7873355036911367,0.0001
4,0.21647031050920487,0.24583301693201065,0.75575,0.7094188376753507,0.8223313329696308,0.7889374090247453,0.9401247401247401,0.9003322259136213,0.7307692307692307,0.7020725388601037,0.8459968806677027,0.8115686184602687,9.988946049184609e-05
5,0.20466912066936493,0.24138673767447472,0.766,0.7154308617234469,0.8314121037463977,0.7867867867867868,0.9389747762408462,0.9357142857142857,0.7459599224305107,0.6787564766839378,0.8608704306990244,0.8253014810399376,9.955833566366162e-05
6,0.17366357135772706,0.28731202986091375,0.806,0.7334669338677354,0.8619708288865172,0.8118811881188119,0.9584651898734177,0.8940809968847352,0.7831286360698125,0.7435233160621761,0.8931107848131612,0.7870145352835985,9.900810439931104e-05
7,0.1596038433909416,0.27264359407126904,0.82625,0.7414829659318637,0.8775330396475771,0.8122270742358079,0.96474234792716,0.9269102990033222,0.8047834518422754,0.7227979274611399,0.9064152150926597,0.8229629969278739,9.824122416519163e-05
8,0.14356550163030624,0.2992897219955921,0.84925,0.7555110220440882,0.8948928011155656,0.8257142857142857,0.9712447975785092,0.9203821656050956,0.8296703296703297,0.7487046632124352,0.9278893421861867,0.8295199229675821,9.726112003459197e-05
9,0.1381427803337574,0.29175950586795807,0.8555,0.751503006012024,0.9003791795932438,0.8218390804597702,0.9645494830132939,0.9225806451612903,0.8442146089204913,0.7409326424870466,0.9356541393939133,0.8139988078316291,9.607216939048322e-05
10,0.12022900176048279,0.3592777866870165,0.8705,0.7755511022044088,0.9109965635738831,0.8474114441416893,0.9724871606749816,0.8936781609195402,0.856819650937298,0.805699481865285,0.9493882626917298,0.8159704709065064,9.467968237506411e-05
11,0.11417953760921955,0.4189743595197797,0.88575,0.7595190380761523,0.9224766751484309,0.839142091152815,0.9707247411638701,0.8694444444444445,0.87879767291532,0.810880829015544,0.9572836266447486,0.7947407033793388,9.308987817337689e-05
12,0.10186699633300304,0.42538214148953557,0.9045,0.7535070140280561,0.9356469002695418,0.8321964529331515,0.9771287825475018,0.8789625360230547,0.8975436328377505,0.7901554404145078,0.9663062881800707,0.796528955935623,9.130985723691713e-05
13,0.09388067612797021,0.44167246809229255,0.90875,0.779559118236473,0.9385211386221998,0.8544973544973545,0.9799507562434049,0.8729729729729729,0.9004524886877828,0.8367875647668394,0.9711097887958037,0.813379797331377,8.93475695712937e-05
14,0.08724050860106945,0.3689323328435421,0.916,0.7655310621242485,0.9435862995298858,0.8377253814147018,0.9818308874912649,0.9014925373134328,0.9082094376212023,0.7823834196891192,0.9748088231726721,0.8196042918061351,8.72117792295739e-05
15,0.08677709972858429,0.4445272679440677,0.92075,0.7755511022044088,0.9469633595449222,0.8514588859416445,0.9816163718348943,0.8722826086956522,0.9146735617323852,0.8316062176165803,0.9763139081409435,0.8035902609014628,8.491202516989479e-05
16,0.06908346498012542,0.4971706457436085,0.931,0.7655310621242485,0.9540153282239253,0.8462549277266754,0.984525447042641,0.8586666666666667,0.9253393665158371,0.8341968911917098,0.9835988903967088,0.8077972396716953,8.245857865216071e-05
17,0.06746884715184569,0.6397850383073092,0.9365,0.7615230460921844,0.9578213218199934,0.8444444444444444,0.9849726775956285,0.8522427440633246,0.9321266968325792,0.8367875647668394,0.9843687347582947,0.7922417350635058,7.986239736410308e-05
18,0.07158594836294652,0.5695380158722401,0.938,0.7655310621242485,0.9588723051409619,0.8421052631578947,0.9846730245231607,0.8788732394366198,0.9343891402714932,0.8082901554404145,0.9860793018175177,0.8025241872621395,7.713507648158695e-05
19,0.061712948888540266,0.5056888544932008,0.94225,0.7835671342685371,0.9617486338797814,0.8544474393530997,0.9860780984719865,0.8904494382022472,0.9385908209437621,0.8212435233160622,0.9870207379946374,0.8075106607363932,7.428879688174084e-05
